Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027454972.1_family	1083.5	652.0	545.3	524.3	465.4	434.5	1142.5	877.1	625.4	1412.6	498.5	625.3	1311.6	1665.3	1201.8	946.1	1002.8	780.5	1206.6
XP_027474404.1 (+1)	354.0	183.0	130.0	73.0	64.0	84.0	355.0	20.0	239.0	663.0	130.0	191.0	414.0	440.0	337.0	244.0	360.0	335.0	440.0
XP_027471018.1	192.0	109.0	206.0	88.0	154.0	173.0	314.0	455.0	166.0	39.0	251.0	354.0	160.0	62.0	186.0	280.0	154.0	117.0	197.0
XP_027439418.1	282.0	150.9	146.9	89.0	75.0	75.0	150.0	203.0	168.0	349.0	90.0	112.0	271.0	355.0	231.8	201.0	169.0	223.0	217.0
XP_027439774.1	131.0	102.0	17.0	25.0	21.0	40.0	49.0	112.0	127.0	541.0	105.0	151.0	336.0	433.0	169.0	126.0	291.0	215.0	366.0
XP_027452391.1	114.0	104.0	84.0	24.0	24.0	70.0	56.0	151.0	214.0	67.0	395.0	545.0	307.0	71.0	82.0	430.0	297.0	83.0	236.0
XP_027453370.1 (+1)	85.0	149.0	36.0	58.0	60.0	60.0	32.0	53.0	265.0	177.0	175.0	339.0	288.0	126.0	263.0	265.0	253.0	228.0	269.0
XP_027469914.1	167.0	334.0	329.0	271.0	345.0	223.0	269.0	113.0	158.0	2.0	51.0	95.0	290.0	20.0	28.0	75.0	38.0	35.0	71.0
XP_027450149.1	102.0	116.0	76.0	27.0	26.0	24.0	50.0	115.0	184.9	70.0	258.0	270.0	162.0	65.0	223.0	292.0	164.0	96.0	197.0
XP_027459616.1	218.0	146.0	127.0	115.0	126.0	143.0	153.0	142.0	138.0	76.0	101.0	190.0	124.0	74.0	96.0	94.0	138.0	94.0	175.0
XP_027455602.1	65.0	77.0	39.0	59.0	63.0	62.0	58.0	37.0	193.0	315.0	214.0	155.0	142.0	211.0	187.0	154.0	134.0	158.0	141.0
XP_027436505.1	35.0	86.0	19.0	31.0	39.0	32.0	29.0	50.0	124.0	263.0	160.0	88.0	290.0	404.0	215.0	124.0	172.0	159.0	109.0
XP_027469076.1 (+2)	120.0	249.0	166.0	199.0	255.0	186.0	188.0	102.0	76.0	33.0	83.0	127.0	88.0	38.0	93.0	111.0	130.0	60.0	107.0
XP_027431740.1 (+1)	70.0	29.0	34.0	12.0	27.0	43.0	74.0	98.0	186.0	274.0	179.0	121.0	162.0	215.0	175.0	107.0	222.0	71.0	118.0
XP_027436533.1	112.0	66.0	62.0	62.0	81.0	117.0	120.0	232.0	60.0	148.0	75.0	91.0	126.0	138.0	127.0	113.0	130.0	63.0	192.0
XP_027425890.1	111.0	86.0	62.0	47.0	34.0	61.0	122.0	190.0	102.0	185.0	76.0	74.0	211.0	138.0	152.0	118.0	86.0	99.0	111.0
XP_027459192.1	109.0	99.0	52.0	57.0	56.0	62.0	79.0	92.0	124.0	172.0	112.0	118.0	178.0	168.0	135.0	135.0	104.0	99.0	114.0
XP_027449767.1	7.0	0.0	0.0	0.0	2.0	7.0	21.0	367.0	171.0	21.0	147.0	57.0	153.0	25.0	670.0	297.0	11.0	18.0	59.0
XP_027443046.1	188.0	69.0	78.0	54.0	58.0	40.0	45.0	80.0	87.0	183.0	112.0	130.0	151.0	130.0	124.0	166.0	122.0	87.0	107.0
XP_027427657.1	156.0	152.0	174.0	221.0	175.0	155.0	216.0	80.0	49.0	15.0	60.0	74.0	35.0	13.0	54.0	61.0	35.0	24.0	37.0
EXTRA_0001	85.0	67.0	69.0	74.0	66.0	73.0	89.0	98.0	111.0	115.0	77.0	109.0	95.0	102.0	99.0	76.0	102.0	160.0	115.0
XP_027441761.1 (+1)	51.0	30.0	38.0	6.0	9.0	10.0	13.0	60.0	142.0	36.0	238.0	258.0	198.0	43.0	130.0	151.0	106.0	53.0	141.0
XP_027427972.1	39.0	20.0	16.0	8.0	15.0	13.0	31.0	102.0	274.0	41.0	146.0	162.0	160.0	21.0	140.0	109.0	93.0	72.0	149.0
XP_027460953.1	79.0	134.0	108.0	99.0	122.0	145.0	88.0	68.0	69.0	22.0	90.0	91.0	133.0	36.0	56.0	80.0	45.0	36.0	62.0
XP_027458694.1	154.0	26.0	19.0	5.0	6.0	24.0	35.0	54.0	73.0	132.0	110.0	95.0	132.0	178.0	66.0	53.0	103.0	71.0	125.0
XP_027442793.1 (+3)	114.0	35.0	15.0	6.0	11.0	11.0	97.0	56.0	25.0	175.0	54.0	35.0	133.0	160.0	74.0	57.0	155.0	84.0	149.0
XP_027443479.1	36.0	87.0	51.0	66.0	69.0	59.0	52.0	35.0	91.0	51.0	93.0	95.0	120.0	97.0	58.2	93.0	71.0	52.0	113.0
XP_027429795.1	17.0	25.0	17.0	26.0	17.0	17.0	35.0	9.0	111.0	34.0	572.0	17.0	48.0	45.0	215.0	80.0	20.0	7.0	32.0
XP_027443977.1_family	56.0	56.0	64.0	68.0	54.0	89.0	58.0	31.0	67.0	128.0	81.0	71.0	83.0	118.0	56.0	79.0	47.0	42.0	70.0
XP_027440587.1	43.0	100.0	97.0	190.0	161.0	109.0	154.0	33.0	14.0	10.0	46.0	82.0	18.0	8.0	24.0	53.0	37.0	22.0	34.0
