AverageSpC	FracMissing
894.7927	0.0000
266.1050	0.0000
192.4737	0.0000
187.2961	0.0000
176.6842	0.0000
176.5259	0.0000
167.4211	0.0000
153.3684	0.0000
132.5181	0.0000
130.0000	0.0000
129.6842	0.0000
127.8421	0.0000
126.8947	0.0000
116.6842	0.0000
111.3158	0.0000
108.6842	0.0000
108.6842	0.0000
107.0000	0.0088
105.8421	0.0083
94.0000	0.0079
93.7895	0.0075
90.1579	0.0072
84.7895	0.0069
82.2632	0.0066
76.8947	0.0063
76.1053	0.0061
73.1158	0.0058
70.7368	0.0056
69.3684	0.0054
65.0000	0.0053
64.4737	0.0051
63.8947	0.0049
61.7368	0.0048
60.0526	0.0046
58.9474	0.0075
56.5263	0.0073
55.0526	0.0071
53.9786	0.0069
53.2105	0.0067
52.1579	0.0066
51.9779	0.0064
50.7895	0.0063
49.3684	0.0061
48.6842	0.0060
47.6316	0.0058
47.1053	0.0057
46.8421	0.0101
45.9474	0.0099
45.8421	0.0097
44.5789	0.0147
40.5263	0.0144
39.2632	0.0142
38.4737	0.0139
37.9474	0.0146
37.8421	0.0144
37.5519	0.0160
36.6316	0.0157
35.6327	0.0154
33.8642	0.0152
33.1053	0.0149
32.6316	0.0164
32.5789	0.0161
32.3381	0.0201
31.8421	0.0197
31.7368	0.0194
31.4211	0.0191
31.4211	0.0189
31.2105	0.0186
30.5789	0.0183
30.2632	0.0180
30.1053	0.0178
29.5635	0.0175
29.1579	0.0173
28.9474	0.0171
28.6316	0.0175
28.6316	0.0173
28.4737	0.0198
28.2235	0.0196
28.2105	0.0193
27.6842	0.0191
27.5789	0.0188
27.4211	0.0186
27.2632	0.0184
27.0526	0.0188
26.7894	0.0198
25.8947	0.0220
25.8947	0.0218
25.5263	0.0215
25.1053	0.0213
25.0526	0.0211
24.4522	0.0243
24.3545	0.0240
24.1053	0.0238
23.8947	0.0241
23.7895	0.0249
23.7266	0.0247
23.6842	0.0266
23.4303	0.0290
23.4211	0.0292
23.0526	0.0289
23.0526	0.0292
22.8947	0.0289
22.7895	0.0317
22.6842	0.0324
22.2632	0.0336
22.0476	0.0333
21.8947	0.0330
21.6842	0.0327
21.3684	0.0324
20.7895	0.0321
20.6842	0.0318
20.6842	0.0315
20.2632	0.0312
20.2105	0.0309
19.8421	0.0320
19.2105	0.0318
19.1579	0.0333
19.1053	0.0330
18.8421	0.0327
18.5263	0.0325
18.2632	0.0322
18.2632	0.0324
18.2632	0.0321
18.0526	0.0318
17.9474	0.0324
17.8802	0.0338
17.7895	0.0344
17.6268	0.0341
17.5789	0.0339
17.2604	0.0336
17.1004	0.0350
16.9641	0.0367
16.7368	0.0364
16.4737	0.0369
16.4211	0.0366
16.3684	0.0364
16.1053	0.0365
15.8947	0.0362
15.8947	0.0360
15.7368	0.0365
15.5881	0.0370
15.5391	0.0367
15.3684	0.0364
15.2632	0.0362
15.2105	0.0359
15.0000	0.0368
14.9474	0.0365
14.8947	0.0363
14.8947	0.0364
14.8947	0.0361
14.8519	0.0359
14.8421	0.0370
14.3849	0.0368
14.3158	0.0373
14.3158	0.0374
14.2632	0.0378
14.2105	0.0375
14.0000	0.0373
13.8947	0.0377
13.7895	0.0375
13.6292	0.0392
13.5189	0.0406
13.4737	0.0404
13.4211	0.0420
