PAW protein_summary_9 results file
written: Wed Jul 17 11:40:29 2019

 	=subtotal(109,B6:B4149)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_2017-5-25_CSL_03_redux	Total_2017-5-25_CSL_05_redux	Total_2017-5-25_CSL_06_redux	Total_2017-5-25_CSL_09_redux	Total_2017-5-25_CSL_14_redux	Total_2017-5-25_CSL_15_redux	Total_2017-5-25_CSL_17_redux	Total_2017-5-25_CSL_18_redux	Total_2017-5-25_CSL_19_redux	Total_2017-5-25_CSL_20_redux	Total_2017-6-19_CSL_01_redux	Total_2017-6-19_CSL_02_redux	Total_2017-6-19_CSL_04_redux	Total_2017-6-19_CSL_08_redux	Total_2017-6-19_CSL_10_redux	Total_2017-6-19_CSL_11_redux	Total_2017-6-19_CSL_12_redux	Total_2017-6-19_CSL_13_redux	Total_2017-6-19_CSL_16_redux	Unique_2017-5-25_CSL_03_redux	Unique_2017-5-25_CSL_05_redux	Unique_2017-5-25_CSL_06_redux	Unique_2017-5-25_CSL_09_redux	Unique_2017-5-25_CSL_14_redux	Unique_2017-5-25_CSL_15_redux	Unique_2017-5-25_CSL_17_redux	Unique_2017-5-25_CSL_18_redux	Unique_2017-5-25_CSL_19_redux	Unique_2017-5-25_CSL_20_redux	Unique_2017-6-19_CSL_01_redux	Unique_2017-6-19_CSL_02_redux	Unique_2017-6-19_CSL_04_redux	Unique_2017-6-19_CSL_08_redux	Unique_2017-6-19_CSL_10_redux	Unique_2017-6-19_CSL_11_redux	Unique_2017-6-19_CSL_12_redux	Unique_2017-6-19_CSL_13_redux	Unique_2017-6-19_CSL_16_redux	Corrected_2017-5-25_CSL_03_redux	Corrected_2017-5-25_CSL_05_redux	Corrected_2017-5-25_CSL_06_redux	Corrected_2017-5-25_CSL_09_redux	Corrected_2017-5-25_CSL_14_redux	Corrected_2017-5-25_CSL_15_redux	Corrected_2017-5-25_CSL_17_redux	Corrected_2017-5-25_CSL_18_redux	Corrected_2017-5-25_CSL_19_redux	Corrected_2017-5-25_CSL_20_redux	Corrected_2017-6-19_CSL_01_redux	Corrected_2017-6-19_CSL_02_redux	Corrected_2017-6-19_CSL_04_redux	Corrected_2017-6-19_CSL_08_redux	Corrected_2017-6-19_CSL_10_redux	Corrected_2017-6-19_CSL_11_redux	Corrected_2017-6-19_CSL_12_redux	Corrected_2017-6-19_CSL_13_redux	Corrected_2017-6-19_CSL_16_redux	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	190	113	0.595	11	12	15	3	11	15	17	7	8	24	8	14	10	7	7	3	4	6	8	9	7	10	2	8	12	13	3	4	16	5	11	2	2	1	1	1	4	2	9.621	8.129	11.282	2.105	8.533	12.667	13.881	3.750	4.571	17.910	5.682	12.065	2.889	2.455	1.400	1.167	1.333	4.242	2.545	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	42.4	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	536	458	0.854	22	29	34	18	40	46	50	17	28	59	20	23	24	25	20	13	11	31	26	20	24	29	17	37	42	46	13	24	51	17	20	16	20	14	11	8	29	20	21.379	27.871	32.718	17.895	39.467	44.951	49.119	16.250	27.429	57.090	19.318	21.935	23.111	24.545	19.600	12.833	10.667	30.758	25.455	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, XP_027428841.1, XP_027429316.1
3.0	1	CONT_015|gi|229552|prf||754920A	contaminant	68.7	581	65797	albumin [Bos primigenius taurus].	1620	18	0.011	79	105	178	77	69	88	119	33	124	75	46	109	50	118	53	54	53	80	110	7	0	8	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	25.352	0.000	27.187	0.000	0.000	2.000	0.000	1.500	0.000	1.000	2.077	0.000	2.585	2.123	0.000	0.000	0.000	0.000	0.000	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, XP_027454972.1, XP_027455446.1
4.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	71.5	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	1928	30	0.016	91	123	203	93	81	104	134	47	151	93	52	124	61	134	69	68	65	101	134	9	1	11	0	1	0	2	0	1	0	0	1	0	0	0	1	1	1	1	34.552	7.098	39.721	0.000	3.423	2.000	14.620	1.500	3.148	1.000	0.000	5.093	0.000	0.000	0.000	1.146	1.158	6.087	1.204	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, XP_027454972.1, XP_027455446.1
5.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	33.7	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	1402	49	0.035	30	89	120	72	54	88	100	37	117	64	44	101	48	109	53	51	48	73	104	2	1	3	1	2	3	3	4	14	1	1	1	1	1	4	1	4	1	1	2.227	1.074	3.657	1.127	2.786	3.784	3.866	6.322	15.435	1.080	1.075	1.078	1.583	1.114	4.412	1.109	4.433	1.066	1.158	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, XP_027454972.1, XP_027455446.1
6.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	26.6	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	343	51	0.149	12	16	26	19	17	25	14	8	37	14	11	20	15	22	15	11	16	25	20	1	3	4	3	2	3	2	0	9	1	4	5	1	3	3	0	0	2	5	1.220	3.033	5.419	3.086	2.035	3.571	2.022	0.000	9.252	1.016	4.049	5.058	1.025	3.060	3.076	0.000	0.000	2.042	5.114	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, XP_027454972.1
7.0	1	CONT_046|gi|88041|pir||A31994	contaminant	45.8	561	57247	keratin 10, type I, epidermal [Homo sapiens].	616	31	0.050	30	27	30	21	37	49	50	28	33	47	17	20	38	38	24	20	23	30	54	1	2	2	2	2	1	1	0	3	3	0	1	1	2	2	1	3	2	2	8.913	17.626	18.808	19.444	17.524	8.695	17.189	8.463	19.133	25.641	2.000	10.125	14.865	17.214	18.984	9.540	19.258	17.900	25.288	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027449634.1, XP_027449844.1, XP_027480464.1, XP_027480465.1, XP_027480639.1, XP_027480644.1, XP_027481847.1, XP_027481944.1, XP_027481947.1, XP_027482012.1, XP_027482028.1, XP_027482052.1
8.0	1	CONT_047|gi|88042|pir||S14666	contaminant	45.9	453	48204	keratin 10, type I, cytoskeletal (clone IIB5) (fragment) [Homo sapiens].	593	1	0.002	30	20	25	23	29	47	47	27	38	42	15	17	40	37	26	26	26	26	52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	3.333	0.000	0.000	0.000	7.930	11.378	0.000	2.000	0.000	0.000	0.000	4.167	0.000	4.000	0.000	0.000	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027449634.1, XP_027449844.1, XP_027480464.1, XP_027480465.1, XP_027480639.1, XP_027480644.1, XP_027481847.1, XP_027481944.1, XP_027481947.1, XP_027482012.1, XP_027482028.1, XP_027482052.1
9.0	1	CONT_049|gi|88052|pir||A32568	contaminant	46.2	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	243	0	0.000	21	7	10	4	16	23	20	5	9	24	6	5	34	5	7	4	4	15	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000	1.100	2.267	0.500	1.500	1.000	3.467	0.433	2.267	1.500	0.433	0.667	0.500	1.667	1.167	0.333	0.333	3.867	6.767	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027430955.1, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1
