Program "PAW_protein_grouper.py" run on Wed Jul 17 11:41:51 2019


	=SUBTOTAL(109,B6:B2341)																																																																					
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_2017-5-25_CSL_03_redux	Total_2017-5-25_CSL_05_redux	Total_2017-5-25_CSL_06_redux	Total_2017-5-25_CSL_09_redux	Total_2017-5-25_CSL_14_redux	Total_2017-5-25_CSL_15_redux	Total_2017-5-25_CSL_17_redux	Total_2017-5-25_CSL_18_redux	Total_2017-5-25_CSL_19_redux	Total_2017-5-25_CSL_20_redux	Total_2017-6-19_CSL_01_redux	Total_2017-6-19_CSL_02_redux	Total_2017-6-19_CSL_04_redux	Total_2017-6-19_CSL_08_redux	Total_2017-6-19_CSL_10_redux	Total_2017-6-19_CSL_11_redux	Total_2017-6-19_CSL_12_redux	Total_2017-6-19_CSL_13_redux	Total_2017-6-19_CSL_16_redux	Unique_2017-5-25_CSL_03_redux	Unique_2017-5-25_CSL_05_redux	Unique_2017-5-25_CSL_06_redux	Unique_2017-5-25_CSL_09_redux	Unique_2017-5-25_CSL_14_redux	Unique_2017-5-25_CSL_15_redux	Unique_2017-5-25_CSL_17_redux	Unique_2017-5-25_CSL_18_redux	Unique_2017-5-25_CSL_19_redux	Unique_2017-5-25_CSL_20_redux	Unique_2017-6-19_CSL_01_redux	Unique_2017-6-19_CSL_02_redux	Unique_2017-6-19_CSL_04_redux	Unique_2017-6-19_CSL_08_redux	Unique_2017-6-19_CSL_10_redux	Unique_2017-6-19_CSL_11_redux	Unique_2017-6-19_CSL_12_redux	Unique_2017-6-19_CSL_13_redux	Unique_2017-6-19_CSL_16_redux	Corrected_2017-5-25_CSL_03_redux	Corrected_2017-5-25_CSL_05_redux	Corrected_2017-5-25_CSL_06_redux	Corrected_2017-5-25_CSL_09_redux	Corrected_2017-5-25_CSL_14_redux	Corrected_2017-5-25_CSL_15_redux	Corrected_2017-5-25_CSL_17_redux	Corrected_2017-5-25_CSL_18_redux	Corrected_2017-5-25_CSL_19_redux	Corrected_2017-5-25_CSL_20_redux	Corrected_2017-6-19_CSL_01_redux	Corrected_2017-6-19_CSL_02_redux	Corrected_2017-6-19_CSL_04_redux	Corrected_2017-6-19_CSL_08_redux	Corrected_2017-6-19_CSL_10_redux	Corrected_2017-6-19_CSL_11_redux	Corrected_2017-6-19_CSL_12_redux	Corrected_2017-6-19_CSL_13_redux	Corrected_2017-6-19_CSL_16_redux
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	190	113	0.595	11	12	15	3	11	15	17	7	8	24	8	14	10	7	7	3	4	6	8	9	7	10	2	8	12	13	3	4	16	5	11	2	2	1	1	1	4	2	9.621	8.129	11.282	2.105	8.533	12.667	13.881	3.750	4.571	17.910	5.682	12.065	2.889	2.455	1.400	1.167	1.333	4.242	2.545
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG, XP_027428841.1, XP_027429316.1	contaminant	42.4	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	536	458	0.854	22	29	34	18	40	46	50	17	28	59	20	23	24	25	20	13	11	31	26	20	24	29	17	37	42	46	13	24	51	17	20	16	20	14	11	8	29	20	21.379	27.871	32.718	17.895	39.467	44.951	49.119	16.250	27.429	57.090	19.318	21.935	23.111	24.545	19.600	12.833	10.667	30.758	25.455
6	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, XP_027454972.1	contaminant	26.6	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	343	51	0.149	12	16	26	19	17	25	14	8	37	14	11	20	15	22	15	11	16	25	20	1	3	4	3	2	3	2	0	9	1	4	5	1	3	3	0	0	2	5	1.606	4.054	8.916	4.067	4.058	5.090	2.054	0.036	10.121	2.054	4.031	7.058	1.063	4.081	4.049	0.049	0.072	4.094	5.067
7	1	CONT_046|gi|88041|pir||A31994	 	 	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027449634.1, XP_027449844.1, XP_027480464.1, XP_027480639.1, XP_027480644.1, XP_027481847.1, XP_027481944.1, XP_027481947.1, XP_027482012.1, XP_027482028.1, XP_027482052.1	contaminant	45.8	561	57247	keratin 10, type I, epidermal [Homo sapiens].	616	31	0.050	30	27	30	21	37	49	50	28	33	47	17	20	38	38	24	20	23	30	54	1	2	2	2	2	1	1	0	3	3	0	1	1	2	2	1	3	2	2	6.268	6.502	6.897	5.248	8.135	9.514	9.022	4.808	7.887	10.166	2.912	4.355	7.025	8.093	5.332	3.930	5.907	7.187	10.192
9	1	CONT_049|gi|88052|pir||A32568	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1	contaminant	46.2	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	243	0	0.000	21	7	10	4	16	23	20	5	9	24	6	5	34	5	7	4	4	15	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000	0.500	1.500	0.500	1.500	1.000	0.500	0.000	0.500	1.000	0.000	0.500	0.500	1.000	0.500	0.000	0.000	1.000	2.000
10	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027481944.1, XP_027481947.1, XP_027482028.1	contaminant	39.8	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	136	5	0.037	17	10	6	3	10	11	7	2	13	9	7	4	13	5	1	2	1	7	8	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0.824	0.224	0.143	0.062	0.368	0.498	0.152	0.047	4.302	1.339	0.150	0.115	0.811	0.140	0.024	0.047	0.024	0.147	0.190
11	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1	contaminant	67.8	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	904	570	0.631	55	45	56	21	71	57	82	33	51	71	33	26	54	36	36	25	25	62	65	37	29	37	9	47	32	52	21	37	47	20	17	34	24	17	15	13	43	39	50.241	41.252	50.897	17.494	64.304	50.468	73.120	30.748	47.866	63.353	29.062	23.266	49.253	32.599	30.487	21.720	21.037	56.640	57.286
12	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_046|gi|88041|pir||A31994, CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_122|gi|88057|pir||A33652, CONT_156|gi|1363944|pir||JC4313, XP_027423764.1, XP_027423767.1, XP_027423980.1, XP_027423981.1, XP_027480464.1, XP_027480639.1, XP_027481944.1, XP_027481947.1, XP_027482028.1	contaminant	54.4	623	62129	keratin 9, cytoskeletal [Homo sapiens].	687	600	0.873	51	23	48	14	57	35	57	25	34	49	29	41	33	29	32	27	25	38	40	45	19	43	12	50	28	51	22	30	44	27	36	30	25	27	22	20	35	34	50.414	22.609	47.511	13.805	56.316	34.316	56.414	24.707	33.609	48.511	28.805	40.511	32.707	28.609	30.612	26.062	23.612	37.707	38.964
13	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_119|gi|547753|sp|P19013|K2C4_HUMAN, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, XP_027448168.1, XP_027448170.1, XP_027448173.1, XP_027448174.1, XP_027448175.1, XP_027448177.1, XP_027448178.1, XP_027448179.1, XP_027448180.1, XP_027448181.1, XP_027448183.1, XP_027448185.1, XP_027448187.1, XP_027448189.1, XP_027448197.1, XP_027448199.1, XP_027449970.1, XP_027450614.1	contaminant	12.7	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	120	0	0.000	9	5	7	3	8	11	11	4	3	7	5	4	10	3	7	3	5	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
